"REF_DATE","GEO","DGUID","Area of residence","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","Total, area of residence","Total expenditures","Dollars","81","thousands","3","v1139468013","1.1.1","2963243","A","","","0"
"2018-01","Canada","2016A000011124","Total, area of residence","Accommodation","Dollars","81","thousands","3","v1139468338","1.1.2","1080520","A","","","0"
"2018-01","Canada","2016A000011124","Total, area of residence","Clothes and gifts","Dollars","81","thousands","3","v1139468663","1.1.3","380306","A","","","0"
"2018-01","Canada","2016A000011124","Total, area of residence","Food and beverage","Dollars","81","thousands","3","v1139468988","1.1.4","754305","A","","","0"
"2018-01","Canada","2016A000011124","Total, area of residence","Recreation and entertainment","Dollars","81","thousands","3","v1139469313","1.1.5","320736","A","","","0"
"2018-01","Canada","2016A000011124","Total, area of residence","Transportation","Dollars","81","thousands","3","v1139469638","1.1.6","366186","A","","","0"
"2018-01","Canada","2016A000011124","Total, area of residence","Other types of expenditures","Dollars","81","thousands","3","v1139469963","1.1.7","61190","B","","","0"
"2018-01","Canada","2016A000011124","United States residents","Total expenditures","Dollars","81","thousands","3","v1139468038","1.2.1","1436400","A","","","0"
"2018-01","Canada","2016A000011124","United States residents","Accommodation","Dollars","81","thousands","3","v1139468363","1.2.2","603528","A","","","0"
"2018-01","Canada","2016A000011124","United States residents","Clothes and gifts","Dollars","81","thousands","3","v1139468688","1.2.3","71596","B","","","0"
"2018-01","Canada","2016A000011124","United States residents","Food and beverage","Dollars","81","thousands","3","v1139469013","1.2.4","400617","A","","","0"
"2018-01","Canada","2016A000011124","United States residents","Recreation and entertainment","Dollars","81","thousands","3","v1139469338","1.2.5","142190","B","","","0"
"2018-01","Canada","2016A000011124","United States residents","Transportation","Dollars","81","thousands","3","v1139469663","1.2.6","195006","A","","","0"
"2018-01","Canada","2016A000011124","United States residents","Other types of expenditures","Dollars","81","thousands","3","v1139469988","1.2.7","23464","B","","","0"
"2018-01","Canada","2016A000011124","Overseas residents","Total expenditures","Dollars","81","thousands","3","v1139468063","1.3.1","1526844","A","","","0"
"2018-01","Canada","2016A000011124","Overseas residents","Accommodation","Dollars","81","thousands","3","v1139468388","1.3.2","476992","A","","","0"
"2018-01","Canada","2016A000011124","Overseas residents","Clothes and gifts","Dollars","81","thousands","3","v1139468713","1.3.3","308711","A","","","0"
"2018-01","Canada","2016A000011124","Overseas residents","Food and beverage","Dollars","81","thousands","3","v1139469038","1.3.4","353688","A","","","0"
"2018-01","Canada","2016A000011124","Overseas residents","Recreation and entertainment","Dollars","81","thousands","3","v1139469363","1.3.5","178546","A","","","0"
